student_id,Accounting_Score,Business_Studies_Score,Economics_Score,Attendance_Percentage,Subject_Average,risk_level
COM0001,79.96714153011233,86.79226523903202,72.59857380020495,75.46096221061305,79.79,Low Risk
COM0002,73.61735698828815,81.09560419495322,76.84385063427585,80.6980749461025,77.19,Low Risk
COM0003,81.47688538100692,70.71556443904208,71.66064063200031,82.93197233289177,74.62,Low Risk
COM0004,90.23029856408026,62.23675866753311,75.53630776288767,94.43843828670096,76.0,Low Risk
COM0005,72.65846625276664,78.37867976336308,62.85108266436971,87.78276562266879,71.3,Low Risk
COM0006,75.26488444602683,74.72182462506099,79.70634965898351,78.32259215450054,76.56,Low Risk
COM0007,90.79212815507393,80.74231864033278,78.0096438028978,87.43018144708819,83.18,Low Risk
COM0008,82.67434729152909,77.62206162018363,71.46329095145447,77.26348005530818,77.25,Low Risk
COM0009,70.30525614065049,82.59463258383202,83.27396534745924,90.41345526943536,78.72,Low Risk
COM0010,80.42560043585965,63.57717746127318,85.50056110101247,82.6443767409106,76.5,Low Risk
COM0011,70.36582307187538,85.80872878761191,65.1395210850482,84.53181905630414,73.77,Low Risk
COM0012,70.34270246429743,72.3711952563088,71.89820177147028,91.62898323771095,71.54,Low Risk
COM0013,77.41962271566034,94.9031304715032,71.84686120170161,78.56418215707875,81.39,Low Risk
COM0014,55.86719755342202,61.72974618292518,70.48077519112908,78.01440907443504,62.69,Low Risk
COM0015,57.75082167486967,90.831565637983,84.63579873545399,82.08200336826998,77.74,Low Risk
COM0016,69.37712470759027,70.75692558794856,76.44939088981758,90.1918942550966,72.19,Low Risk
COM0017,64.87168879665576,62.18298395662662,75.88388126951511,77.4032696226158,67.65,Low Risk
COM0018,78.14247332595274,64.19336999134813,61.96910108474597,70.83922200944716,68.1,Medium Risk
COM0019,65.91975924478788,66.15583230166816,83.08334424167381,82.744205707955,71.72,Low Risk
COM0020,60.87696298664709,75.08999135682299,68.08593284117222,87.7587039995546,68.02,Low Risk
COM0021,89.65648768921554,76.274025856426,78.47946104213062,91.00130874869414,81.47,Low Risk
COM0022,72.74223699513465,63.11559995273705,80.21901550366553,82.68419318957301,72.03,Low Risk
COM0023,75.67528204687923,69.7077448928682,88.8852687667092,82.94286696441999,78.09,Low Risk
COM0024,60.75251813786544,95.70724430334236,67.5294368070471,90.76950367127874,74.66,Low Risk
COM0025,69.55617275474818,90.73051804120854,53.8439027534334,75.65129150152289,71.38,Low Risk
COM0026,76.10922589709867,75.23588403608838,77.95153066376598,83.05739612408496,76.43,Low Risk
COM0027,63.490064225776976,70.4560417380184,92.40408945208682,85.95211944962529,75.45,Low Risk
COM0028,78.75698018345672,71.44037592061913,87.9115708235155,87.24609360642518,79.37,Low Risk
COM0029,68.99361310081196,77.362215672765,79.677275322197,82.45096653404559,75.34,Low Risk
COM0030,72.08306250206724,57.72648921761913,74.06691051494361,85.1722050585292,67.96,Low Risk
COM0031,68.98293387770603,66.91148155091986,84.45698077309848,72.55836323293505,73.45,Medium Risk
COM0032,93.52278184508938,49.97699111346893,70.21163040236425,81.70875793833076,71.24,Low Risk
COM0033,74.86502775262066,74.79067747126335,81.81086215484976,87.26754356277233,77.16,Low Risk
COM0034,64.422890710441,77.76635127643289,82.04376127333302,80.0885298287266,74.74,Low Risk
COM0035,83.22544912103189,64.20176245240751,86.48167925999104,85.29492110794799,77.97,Low Risk
COM0036,62.791563500289776,88.88784115948039,100.0,84.97637793400148,83.89,Low Risk
COM0037,77.08863595004756,55.290812043971904,81.13932773743014,83.28725399571117,71.17,Low Risk
COM0038,55.40329876120224,52.42750143748216,73.92829099434002,85.85231885498285,60.59,Low Risk
COM0039,61.71813951101569,72.69342182271967,77.79540550246405,80.18633717357694,70.74,Low Risk
COM0040,76.96861235869123,82.56517963134586,63.847392760887054,83.96694360151977,74.46,Low Risk
COM0041,82.3846657999541,90.20713229749444,72.44229495128754,88.05108084794611,81.68,Low Risk
COM0042,76.7136828118997,64.49338884557272,74.72574049509517,85.78486480484217,71.98,Low Risk
COM0043,73.8435171761176,82.94417000117555,73.80729281652326,82.06734365218033,76.86,Low Risk
COM0044,71.98896304410711,69.53789836599151,79.21883897626978,86.12108202145396,73.58,Low Risk
COM0045,60.214780096325725,67.92847240071016,71.4206405409424,88.57304895318309,66.52,Low Risk
